gFx,gFy,gFz,label,gFx_diff,gFy_diff,gFz_diff
-0.2046,0.6558,-0.4074,kneeling,0.0,-0.0020000000000000018,-0.0020000000000000018
-0.2046,0.6578,-0.4134,kneeling,0.0,0.0020000000000000018,-0.006000000000000005
-0.2046,0.6638,-0.4274,kneeling,0.0,0.005999999999999894,-0.014000000000000012
-0.2066,0.6778,-0.4314,kneeling,-0.0020000000000000018,0.014000000000000012,-0.0040000000000000036
-0.2046,0.6958,-0.4314,kneeling,0.0020000000000000018,0.018000000000000016,0.0
-0.2006,0.7138,-0.4314,kneeling,0.0040000000000000036,0.018000000000000016,0.0
-0.1966,0.7318,-0.4334,kneeling,0.0040000000000000036,0.018000000000000016,-0.0020000000000000018
-0.1866,0.8638,-0.4354,kneeling,0.010000000000000009,0.132,-0.0020000000000000018
-0.1746,0.8778,-0.4374,kneeling,0.011999999999999983,0.014000000000000012,-0.0020000000000000018
-0.1646,0.8898,-0.4334,kneeling,0.010000000000000009,0.01200000000000001,0.0040000000000000036
-0.1566,0.8958,-0.4274,kneeling,0.008000000000000007,0.006000000000000005,0.006000000000000005
-0.1446,0.8978,-0.4254,kneeling,0.011999999999999983,0.0020000000000000018,0.0020000000000000018
-0.1386,0.8958,-0.4294,kneeling,0.006000000000000005,-0.0020000000000000018,-0.0040000000000000036
-0.1406,0.8838,-0.4314,kneeling,-0.0020000000000000018,-0.01200000000000001,-0.0020000000000000018
-0.1406,0.8738,-0.4354,kneeling,0.0,-0.010000000000000009,-0.0040000000000000036
-0.1426,0.8678,-0.4374,kneeling,-0.0020000000000000018,-0.006000000000000005,-0.0020000000000000018
-0.1386,0.8758,-0.4394,kneeling,0.0040000000000000036,0.008000000000000007,-0.0020000000000000018
-0.1326,0.8838,-0.4394,kneeling,0.006000000000000005,0.008000000000000007,0.0
-0.1245,0.8918,-0.4374,kneeling,0.008099999999999996,0.008000000000000007,0.0020000000000000018
-0.1245,0.8978,-0.4354,kneeling,0.0,0.006000000000000005,0.0020000000000000018
-0.1185,0.9038,-0.4354,kneeling,0.006000000000000005,0.006000000000000005,0.0
-0.1105,0.9099,-0.4354,kneeling,0.007999999999999993,0.006099999999999994,0.0
-0.1065,0.9119,-0.4334,kneeling,0.0040000000000000036,0.0020000000000000018,0.0020000000000000018
-0.0985,0.9159,-0.4334,kneeling,0.007999999999999993,0.0040000000000000036,0.0
-0.0945,0.9179,-0.4334,kneeling,0.0040000000000000036,0.0020000000000000018,0.0
-0.0925,0.9159,-0.4314,kneeling,0.0020000000000000018,-0.0020000000000000018,0.0020000000000000018
-0.0905,0.9139,-0.4294,kneeling,0.0020000000000000018,-0.0020000000000000018,0.0020000000000000018
-0.0885,0.9018,-0.4314,kneeling,0.0020000000000000018,-0.0121,-0.0020000000000000018
